Time,Forward,Backward,Right,Left,Speed
5.0067901611328125e-06,740,740,77,77,0.0
0.1070411205291748,740,740,77,77,0.0
0.2129971981048584,740,740,77,77,0.0
0.31910109519958496,740,740,77,77,0.0
0.4241361618041992,740,740,77,77,0.0
0.5266239643096924,740,740,77,77,0.0
0.6317811012268066,740,740,77,77,0.0
0.7404141426086426,740,740,77,77,0.0
0.8461732864379883,740,740,77,77,0.0
0.9520969390869141,740,740,77,77,0.0
1.058110237121582,740,740,77,77,0.0
1.1600151062011719,740,740,77,77,0.0
1.2621710300445557,740,740,77,77,0.0
1.3677899837493896,740,740,77,77,0.0
1.4759752750396729,740,740,77.00694592710667,77.0,0.0034729635533386075
1.582360029220581,740,740,78.03841610244822,77.87865977899466,0.07987816172678797
1.6879050731658936,740,740,80.5910443141521,80.28542352145831,0.15281039634689883
1.7932729721069336,740,740,84.90793801095201,84.4495068219113,0.22921559452034848
1.9020380973815918,740,740,91.21831278736826,90.60012527487399,0.30909375624713625
2.007338047027588,740,740,98.97344040197336,98.2024424931322,0.3854989544205853
2.1113882064819336,740,740,108.40948237639435,107.48567407120629,0.46190415259403433
2.216569185256958,740,740,119.25763274517429,118.25763274517429,0.5
2.3253390789031982,740,740,130.7576327451743,129.7576327451743,0.5
2.432110071182251,740,740,141.7576327451743,140.7576327451743,0.5
2.5367159843444824,740.2674181936071,740.1910129954337,152.2576327451743,151.2576327451743,0.501457314810524
2.6438651084899902,742.0629403506832,741.8337247561628,163.2576327451743,162.2576327451743,0.5129668090557411
2.7503459453582764,745.5393768675752,745.1573508767079,174.2576327451743,173.2576327451743,0.5352438364189965
2.8594980239868164,750.1688372841752,749.7451357306679,185.2576327451743,184.2576327451743,0.543029236423903
2.9725680351257324,754.8226084456485,754.4058528192479,196.2576327451743,195.2576327451743,0.5416837758638762
3.0786290168762207,758.4518553588873,758.1879101288337,207.2576327451743,206.2576327451743,0.5171235549818144
